Title,Authors,Affiliations,Qualifier,Major Qualifier,Descriptor,Major Descriptor,Abstract,Journal,Language,Year,Month
Prediction of missing flow records using multilayer perceptron and coactive neurofuzzy inference system.,"['Tfwala, Samkele S', 'Wang, Yu-Min', 'Lin, Yu-Chieh']","['Department of Civil Engineering, National Pingtung University of Science and Technology, Neipu Hsiang, Pingtung 91201, Taiwan.', 'Department of Civil Engineering, National Pingtung University of Science and Technology, Neipu Hsiang, Pingtung 91201, Taiwan.', 'Department of Civil Engineering, National Pingtung University of Science and Technology, Neipu Hsiang, Pingtung 91201, Taiwan.']",['methods'],NA,"[StringElement('Disasters', attributes={'UI': 'D004190', 'MajorTopicYN': 'Y'}), StringElement('Hydrology', attributes={'UI': 'D062070', 'MajorTopicYN': 'N'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'Y'}), StringElement('Rivers', attributes={'UI': 'D045483', 'MajorTopicYN': 'Y'})]","[StringElement('Disasters', attributes={'UI': 'D004190', 'MajorTopicYN': 'Y'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'Y'}), StringElement('Rivers', attributes={'UI': 'D045483', 'MajorTopicYN': 'Y'})]","Hydrological data are often missing due to natural disasters, improper operation, limited equipment life, and other factors, which limit hydrological analysis. Therefore, missing data recovery is an essential process in hydrology. This paper investigates the accuracy of artificial neural networks (ANN) in estimating missing flow records. The purpose is to develop and apply neural networks models to estimate missing flow records in a station when data from adjacent stations is available. Multilayer perceptron neural networks model (MLP) and coactive neurofuzzy inference system model (CANFISM) are used to estimate daily flow records for Li-Lin station using daily flow data for the period 1997 to 2009 from three adjacent stations (Nan-Feng, Lao-Nung and San-Lin) in southern Taiwan. The performance of MLP is slightly better than CANFISM, having R (2) of 0.98 and 0.97, respectively. We conclude that accurate estimations of missing flow records under the complex hydrological conditions of Taiwan could be attained by intelligent methods such as MLP and CANFISM.",TheScientificWorldJournal,eng,2013,NA
Intelligence. Ready for a customer relationship.,"['Trueland, Jennifer']",[],[],[],"[StringElement('Consumer Behavior', attributes={'UI': 'D003258', 'MajorTopicYN': 'Y'}), StringElement('Hospitals, Public', attributes={'UI': 'D006779', 'MajorTopicYN': 'Y'}), StringElement('State Medicine', attributes={'UI': 'D013222', 'MajorTopicYN': 'N'}), StringElement('United Kingdom', attributes={'UI': 'D006113', 'MajorTopicYN': 'N'})]","[StringElement('Consumer Behavior', attributes={'UI': 'D003258', 'MajorTopicYN': 'Y'}), StringElement('Hospitals, Public', attributes={'UI': 'D006779', 'MajorTopicYN': 'Y'})]",NA,The Health service journal,eng,2013,Nov
[Extensive speech therapy of a child growing up trilingual].,"['Hakimi, Rainer']","['HALLESCHE Krankenversicherung, Stuttgart.']","['methods', 'diagnosis']",NA,"[StringElement('Articulation Disorders', attributes={'UI': 'D001184', 'MajorTopicYN': 'N'}), StringElement('Child, Preschool', attributes={'UI': 'D002675', 'MajorTopicYN': 'N'}), StringElement('Education, Nonprofessional', attributes={'UI': 'D004505', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Language Development Disorders', attributes={'UI': 'D007805', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Multilingualism', attributes={'UI': 'D019303', 'MajorTopicYN': 'Y'}), StringElement('Patient Compliance', attributes={'UI': 'D010349', 'MajorTopicYN': 'N'}), StringElement('Remedial Teaching', attributes={'UI': 'D012073', 'MajorTopicYN': 'N'}), StringElement('Speech Intelligibility', attributes={'UI': 'D013065', 'MajorTopicYN': 'Y'}), StringElement('Speech Therapy', attributes={'UI': 'D013070', 'MajorTopicYN': 'N'})]","[StringElement('Multilingualism', attributes={'UI': 'D019303', 'MajorTopicYN': 'Y'}), StringElement('Speech Intelligibility', attributes={'UI': 'D013065', 'MajorTopicYN': 'Y'})]",NA,Versicherungsmedizin,ger,2013,Dec
Dignity is at the heart of everything we do.,"['Fraser, Jenny']",['Birthrights.'],['ethics'],NA,"[StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Midwifery', attributes={'UI': 'D008880', 'MajorTopicYN': 'N'}), StringElement(""Nurse's Role"", attributes={'UI': 'D024802', 'MajorTopicYN': 'Y'}), StringElement('Nurse-Patient Relations', attributes={'UI': 'D009723', 'MajorTopicYN': 'N'}), StringElement('Patient-Centered Care', attributes={'UI': 'D018802', 'MajorTopicYN': 'N'}), StringElement('Personhood', attributes={'UI': 'D028723', 'MajorTopicYN': 'Y'}), StringElement('United Kingdom', attributes={'UI': 'D006113', 'MajorTopicYN': 'N'})]","[StringElement(""Nurse's Role"", attributes={'UI': 'D024802', 'MajorTopicYN': 'Y'}), StringElement('Personhood', attributes={'UI': 'D028723', 'MajorTopicYN': 'Y'})]",NA,The practising midwife,eng,2013,Dec
We need a global revolution in consciousness that helps us remember our oneness; helps us remember that everything is sacred.,"['Manahan, Bill']","['Minneapolis, MN.']",[],[],"[StringElement('Consciousness', attributes={'UI': 'D003243', 'MajorTopicYN': 'Y'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'})]","[StringElement('Consciousness', attributes={'UI': 'D003243', 'MajorTopicYN': 'Y'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'Y'})]",NA,"Explore (New York, N.Y.)",eng,2014,NA
[Turner syndrome and monosomy 1p36 deletion syndrome misdiagnosed as thyropenia: report of one case].,"['Meng, Xubiao', 'Li, Zhiming', 'Liu, Tingting', 'Wen, Zhiming']","['Haikou Hospital Affiliated to Xiangya Medical School, Zhongnan University, Haikou 570208, China. E-mail: WZM7890@163.com.']",['diagnosis'],NA,"[StringElement('Abnormalities, Multiple', attributes={'UI': 'D000015', 'MajorTopicYN': 'N'}), StringElement('Chromosome Deletion', attributes={'UI': 'D002872', 'MajorTopicYN': 'N'}), StringElement('Chromosome Disorders', attributes={'UI': 'D025063', 'MajorTopicYN': 'N'}), StringElement('Chromosomes, Human, Pair 1', attributes={'UI': 'D002878', 'MajorTopicYN': 'N'}), StringElement('Comparative Genomic Hybridization', attributes={'UI': 'D055028', 'MajorTopicYN': 'Y'}), StringElement('Diagnostic Errors', attributes={'UI': 'D003951', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Karyotype', attributes={'UI': 'D059785', 'MajorTopicYN': 'N'}), StringElement('Turner Syndrome', attributes={'UI': 'D014424', 'MajorTopicYN': 'N'}), StringElement('Young Adult', attributes={'UI': 'D055815', 'MajorTopicYN': 'N'})]","[StringElement('Comparative Genomic Hybridization', attributes={'UI': 'D055028', 'MajorTopicYN': 'Y'})]","A 21-year-old woman with a short stature presented with primary amenorrhoea and a 45X karyotype, and comparative genomic hybridization revealed 1p36 deletion and abnormal genes in multiple chromosomes to support the diagnosis of Turner syndrome and monosomy 1p36 deletion syndrome. The main clinical features of this condition include microsomia, poor sexual development, menoschesis, gigantorectum, absence of internal genitalia, sometimes with thyropenia and low intelligence. This disease can be easily diagnosed for its heterogeneous clinical manifestations.",Nan fang yi ke da xue xue bao = Journal of Southern Medical University,chi,2013,Dec
[Research on spectra recognition method for cabbages and weeds based on PCA and SIMCA].,"['Zu, Qin', 'Deng, Wei', 'Wang, Xiu', 'Zhao, Chun-Jiang']","['Beijing Research Center of Intelligent Equipment for Agriculture, Beijing Academy of Agriculture and Forestry Sciences, Beijing 100097, China. 619988456@qq.com', 'Beijing Research Center of Intelligent Equipment for Agriculture, Beijing Academy of Agriculture and Forestry Sciences, Beijing 100097, China.', 'Beijing Research Center of Intelligent Equipment for Agriculture, Beijing Academy of Agriculture and Forestry Sciences, Beijing 100097, China.', 'Beijing Research Center of Intelligent Equipment for Agriculture, Beijing Academy of Agriculture and Forestry Sciences, Beijing 100097, China.']",['classification'],NA,"[StringElement('Algorithms', attributes={'UI': 'D000465', 'MajorTopicYN': 'N'}), StringElement('Brassica', attributes={'UI': 'D001937', 'MajorTopicYN': 'N'}), StringElement('Cluster Analysis', attributes={'UI': 'D016000', 'MajorTopicYN': 'N'}), StringElement('Plant Weeds', attributes={'UI': 'D057685', 'MajorTopicYN': 'N'}), StringElement('Principal Component Analysis', attributes={'UI': 'D025341', 'MajorTopicYN': 'N'}), StringElement('Spectrum Analysis', attributes={'UI': 'D013057', 'MajorTopicYN': 'N'})]",[],"In order to improve the accuracy and efficiency of weed identification, the difference of spectral reflectance was employed to distinguish between crops and weeds. Firstly, the different combinations of Savitzky-Golay (SG) convolutional derivation and multiplicative scattering correction (MSC) method were applied to preprocess the raw spectral data. Then the clustering analysis of various types of plants was completed by using principal component analysis (PCA) method, and the feature wavelengths which were sensitive for classifying various types of plants were extracted according to the corresponding loading plots of the optimal principal components in PCA results. Finally, setting the feature wavelengths as the input variables, the soft independent modeling of class analogy (SIMCA) classification method was used to identify the various types of plants. The experimental results of classifying cabbages and weeds showed that on the basis of the optimal pretreatment by a synthetic application of MSC and SG convolutional derivation with SG's parameters set as 1rd order derivation, 3th degree polynomial and 51 smoothing points, 23 feature wavelengths were extracted in accordance with the top three principal components in PCA results. When SIMCA method was used for classification while the previously selected 23 feature wavelengths were set as the input variables, the classification rates of the modeling set and the prediction set were respectively up to 98.6% and 100%.",Guang pu xue yu guang pu fen xi = Guang pu,chi,2013,Oct
No effects of power line frequency extremely low frequency electromagnetic field exposure on selected neurobehavior tests of workers inspecting transformers and distribution line stations versus controls.,"['Li, Li', 'Xiong, De-fu', 'Liu, Jia-wen', 'Li, Zi-xin', 'Zeng, Guang-cheng', 'Li, Hua-liang']","['Electric Power Research Institute of Guangdong Power Grid Corporation, No. 8 Shuijungang Dongfengdong Road, Guangzhou, 510080, Guangdong, China, balmy258@163.com.']","['radiation effects', 'statistics & numerical data']",NA,"[StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Case-Control Studies', attributes={'UI': 'D016022', 'MajorTopicYN': 'N'}), StringElement('Electromagnetic Fields', attributes={'UI': 'D004574', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Hearing Tests', attributes={'UI': 'D006320', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence Tests', attributes={'UI': 'D007361', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Occupational Exposure', attributes={'UI': 'D016273', 'MajorTopicYN': 'N'}), StringElement('Reaction Time', attributes={'UI': 'D011930', 'MajorTopicYN': 'N'}), StringElement('Task Performance and Analysis', attributes={'UI': 'D013647', 'MajorTopicYN': 'Y'}), StringElement('Young Adult', attributes={'UI': 'D055815', 'MajorTopicYN': 'N'})]","[StringElement('Electromagnetic Fields', attributes={'UI': 'D004574', 'MajorTopicYN': 'Y'}), StringElement('Task Performance and Analysis', attributes={'UI': 'D013647', 'MajorTopicYN': 'Y'})]","We aimed to evaluate the interference of 50 Hz extremely low frequency electromagnetic field (ELF-EMF) occupational exposure on the neurobehavior tests of workers performing tour-inspection close to transformers and distribution power lines. Occupational short-term ""spot"" measurements were carried out. 310 inspection workers and 300 logistics staff were selected as exposure and control. The neurobehavior tests were performed through computer-based neurobehavior evaluation system, including mental arithmetic, curve coincide, simple visual reaction time, visual retention, auditory digit span and pursuit aiming. In 500 kV areas electric field intensity at 71.98% of total measured 590 spots were above 5 kV/m (national occupational standard), while in 220 kV areas electric field intensity at 15.69% of total 701 spots were above 5 kV/m. Magnetic field flux density at all the spots was below 1,000 μT (ICNIRP occupational standard). The neurobehavior score changes showed no statistical significance. Results of neurobehavior tests among different age, seniority groups showed no significant changes. Neurobehavior changes caused by daily repeated ELF-EMF exposure were not observed in the current study.",Australasian physical & engineering sciences in medicine,eng,2014,Mar
Global processing fosters donations toward charity appeals framed in an approach orientation.,"['Mukherjee, Sumitava', 'Srinivasan, Narayanan', 'Manjaly, Jaison A']","['Indian Institute of Technology Gandhinagar, Gandhinagar, Gujarat, India.']",[],[],"[StringElement('Attention', attributes={'UI': 'D001288', 'MajorTopicYN': 'Y'}), StringElement('Charities', attributes={'UI': 'D002608', 'MajorTopicYN': 'Y'}), StringElement('Decision Making', attributes={'UI': 'D003657', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Orientation', attributes={'UI': 'D009949', 'MajorTopicYN': 'Y'}), StringElement('Persuasive Communication', attributes={'UI': 'D010565', 'MajorTopicYN': 'Y'})]","[StringElement('Attention', attributes={'UI': 'D001288', 'MajorTopicYN': 'Y'}), StringElement('Charities', attributes={'UI': 'D002608', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Orientation', attributes={'UI': 'D009949', 'MajorTopicYN': 'Y'}), StringElement('Persuasive Communication', attributes={'UI': 'D010565', 'MajorTopicYN': 'Y'})]","People are often influenced by how persuasive appeals are framed. While decisions and preferences seem dependent on the effects of a fit between one's regulatory focus and the motivational orientation of a message, specific cognitive mechanisms involved are not yet clear. This study investigated how perceptual processing styles (global vs local) linked with the scope of attention (broad vs narrow) influence decisions depending on motivation-dependent framing (approach vs avoidance). We found that a global processing style fits approach-oriented message appeals and fosters monetary allocation toward charities framed in eager motivational terms. We discuss implications of the findings on processing styles in relation to affective versus deliberate modes of processing and the need to address in detail the role of attentional scope-dependent processing styles in decision making.",Cognitive processing,eng,2014,Aug
"From babies to Michigan's newest medical school, it's all in the delivery for Doctor Burns.","['Sellek, Stacy']",[],"['organization & administration', 'psychology']",NA,"[StringElement('Career Choice', attributes={'UI': 'D002321', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Michigan', attributes={'UI': 'D008824', 'MajorTopicYN': 'N', 'Type': 'Geographic'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Physicians', attributes={'UI': 'D010820', 'MajorTopicYN': 'N'}), StringElement('Schools, Medical', attributes={'UI': 'D012577', 'MajorTopicYN': 'N'}), StringElement('Social Values', attributes={'UI': 'D012945', 'MajorTopicYN': 'N'})]","[StringElement('Career Choice', attributes={'UI': 'D002321', 'MajorTopicYN': 'Y'})]",NA,Michigan medicine,eng,2014,NA
"""It's our collective responsibility to change the NHS for the better"".","['Royles, Dean']",['NHS Employers.'],"['standards', 'organization & administration']",NA,"[StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'N'}), StringElement('England', attributes={'UI': 'D004739', 'MajorTopicYN': 'N', 'Type': 'Geographic'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Nurse-Patient Relations', attributes={'UI': 'D009723', 'MajorTopicYN': 'N'}), StringElement('Nursing Staff', attributes={'UI': 'D009740', 'MajorTopicYN': 'N'}), StringElement('Personnel Staffing and Scheduling', attributes={'UI': 'D010561', 'MajorTopicYN': 'N'}), StringElement('Quality of Health Care', attributes={'UI': 'D011787', 'MajorTopicYN': 'Y'}), StringElement('State Medicine', attributes={'UI': 'D013222', 'MajorTopicYN': 'N'})]","[StringElement('Quality of Health Care', attributes={'UI': 'D011787', 'MajorTopicYN': 'Y'})]",NA,Nursing times,eng,NA,NA
Clinical leaders. Clinical academics can transform care.,"['Westwood, Greta', 'Fader, Mandy', 'Roberts, Lisa', 'Green, Sue', 'Prieto, Jacqui', 'Bayliss-Pratt, Lisa']","['Southampton University.', 'Southampton University.', 'Southampton University.', 'Southampton University.', 'Southampton University.', 'Health Education England.']","['education', 'organization & administration', 'standards', 'economics']",NA,"[StringElement('Education, Graduate', attributes={'UI': 'D004500', 'MajorTopicYN': 'N'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'N'}), StringElement('Evidence-Based Practice', attributes={'UI': 'D055317', 'MajorTopicYN': 'N'}), StringElement('Health Personnel', attributes={'UI': 'D006282', 'MajorTopicYN': 'N'}), StringElement('Health Services Research', attributes={'UI': 'D006302', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Interdisciplinary Studies', attributes={'UI': 'D058025', 'MajorTopicYN': 'N'}), StringElement('Leadership', attributes={'UI': 'D007857', 'MajorTopicYN': 'Y'}), StringElement('Professional-Patient Relations', attributes={'UI': 'D011369', 'MajorTopicYN': 'N'}), StringElement('Quality Assurance, Health Care', attributes={'UI': 'D011785', 'MajorTopicYN': 'N'}), StringElement('Research Personnel', attributes={'UI': 'D012108', 'MajorTopicYN': 'N'}), StringElement('Resource Allocation', attributes={'UI': 'D040841', 'MajorTopicYN': 'N'}), StringElement('State Medicine', attributes={'UI': 'D013222', 'MajorTopicYN': 'N'}), StringElement('United Kingdom', attributes={'UI': 'D006113', 'MajorTopicYN': 'N'})]","[StringElement('Leadership', attributes={'UI': 'D007857', 'MajorTopicYN': 'Y'})]",NA,The Health service journal,eng,2013,Sep
Lagrangian support vector regression via unconstrained convex minimization.,NA,"['School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi 110067, India. Electronic address: balajnu@gmail.com.', 'School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi 110067, India. Electronic address: deepakjnu85@gmail.com.', 'School of Computer and Systems Sciences, Jawaharlal Nehru University, New Delhi 110067, India. Electronic address: navkapil@gmail.com.']",[],[],"[StringElement('Algorithms', attributes={'UI': 'D000465', 'MajorTopicYN': 'N'}), StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'Y'}), StringElement('Databases as Topic', attributes={'UI': 'D019992', 'MajorTopicYN': 'N'}), StringElement('Engineering', attributes={'UI': 'D004738', 'MajorTopicYN': 'N'}), StringElement('Linear Models', attributes={'UI': 'D016014', 'MajorTopicYN': 'N'}), StringElement('Nonlinear Dynamics', attributes={'UI': 'D017711', 'MajorTopicYN': 'N'}), StringElement('Normal Distribution', attributes={'UI': 'D016011', 'MajorTopicYN': 'N'}), StringElement('Pressure', attributes={'UI': 'D011312', 'MajorTopicYN': 'N'}), StringElement('Regression Analysis', attributes={'UI': 'D012044', 'MajorTopicYN': 'Y'}), StringElement('Robotics', attributes={'UI': 'D012371', 'MajorTopicYN': 'N'}), StringElement('Software', attributes={'UI': 'D012984', 'MajorTopicYN': 'N'}), StringElement('Support Vector Machine', attributes={'UI': 'D060388', 'MajorTopicYN': 'Y'}), StringElement('Time Factors', attributes={'UI': 'D013997', 'MajorTopicYN': 'N'})]","[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'Y'}), StringElement('Regression Analysis', attributes={'UI': 'D012044', 'MajorTopicYN': 'Y'}), StringElement('Support Vector Machine', attributes={'UI': 'D060388', 'MajorTopicYN': 'Y'})]","In this paper, a simple reformulation of the Lagrangian dual of the 2-norm support vector regression (SVR) is proposed as an unconstrained minimization problem. This formulation has the advantage that its objective function is strongly convex and further having only m variables, where m is the number of input data points. The proposed unconstrained Lagrangian SVR (ULSVR) is solvable by computing the zeros of its gradient. However, since its objective function contains the non-smooth 'plus' function, two approaches are followed to solve the proposed optimization problem: (i) by introducing a smooth approximation, generate a slightly modified unconstrained minimization problem and solve it; (ii) solve the problem directly by applying generalized derivative. Computational results obtained on a number of synthetic and real-world benchmark datasets showing similar generalization performance with much faster learning speed in accordance with the conventional SVR and training time very close to least squares SVR clearly indicate the superiority of ULSVR solved by smooth and generalized derivative approaches.",Neural networks : the official journal of the International Neural Network Society,eng,2014,Mar
Do motivation deficits in schizophrenia-spectrum disorders promote cannabis use? An investigation of behavioural response to natural rewards and drug cues.,"['Cassidy, Clifford M', 'Lepage, Martin', 'Malla, Ashok']","['McGill University, Douglas Mental Health University Institute, 6875 Boul., Lasalle, Montreal, Qc, Canada H4H 1R3.', 'McGill University, Douglas Mental Health University Institute, 6875 Boul., Lasalle, Montreal, Qc, Canada H4H 1R3.', 'McGill University, Douglas Mental Health University Institute, 6875 Boul., Lasalle, Montreal, Qc, Canada H4H 1R3. Electronic address: ashok.malla@douglas.mcgill.ca.']","['psychology', 'diagnosis', 'physiopathology', 'administration & dosage']",NA,"[StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Cannabinoids', attributes={'UI': 'D002186', 'MajorTopicYN': 'N'}), StringElement('Cannabis', attributes={'UI': 'D002188', 'MajorTopicYN': 'N'}), StringElement('Case-Control Studies', attributes={'UI': 'D016022', 'MajorTopicYN': 'N'}), StringElement('Cues', attributes={'UI': 'D003463', 'MajorTopicYN': 'Y'}), StringElement('Emotions', attributes={'UI': 'D004644', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Marijuana Abuse', attributes={'UI': 'D002189', 'MajorTopicYN': 'N'}), StringElement('Marijuana Smoking', attributes={'UI': 'D008385', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'}), StringElement('Schizophrenia', attributes={'UI': 'D012559', 'MajorTopicYN': 'N'}), StringElement('Schizophrenic Psychology', attributes={'UI': 'D012565', 'MajorTopicYN': 'Y'})]","[StringElement('Cues', attributes={'UI': 'D003463', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Reward', attributes={'UI': 'D012201', 'MajorTopicYN': 'Y'}), StringElement('Schizophrenic Psychology', attributes={'UI': 'D012565', 'MajorTopicYN': 'Y'})]","Deficits in incentive motivation are often present in both Schizophrenia Spectrum Disorders (SSD) and substance-use disorders. The current study aims to test whether the presence of such deficits confers vulnerability to cannabis use in individuals with SSD. SSD patients (n=35) and healthy controls (n=35) were each divided into a group with (n=20) and a group without (n=15) current cannabis use disorder. Subjects performed a behavioural task designed for schizophrenia patients in which they could seek exposure to pleasant and cannabis visual stimuli on the basis of internal representations of these stimuli. Intensity of cannabis use was assessed by self-report. SSD patients were significantly less likely than controls to exert effort to try to re-view pleasant stimuli but were not significantly less likely to work to avoid unpleasant stimuli. Lack of response to re-view pleasant stimuli significantly predicted higher subsequent cannabis self-administration in patients but not controls, after controlling for degree of prior exposure to cannabis. Deficits in incentive motivation may be an aspect of SSD which promotes cannabis use in this population.",Psychiatry research,eng,2014,Mar
[Solution of PACS to communicate with the handheld mobile intelligent equipment based on web service].,"['Xue, Weijing', 'Wang, Pengcheng', 'Meng, Jian', 'Wang, Haiyang']","[""Taishan Medical University, Tai'an, 271016. xwj560@163.com"", ""Taishan Medical University, Tai'an, 271016."", ""Taishan Medical University, Tai'an, 271016."", ""Taishan Medical University, Tai'an, 271016.""]",['instrumentation'],NA,"[StringElement('Artificial Intelligence', attributes={'UI': 'D001185', 'MajorTopicYN': 'N'}), StringElement('Computer Communication Networks', attributes={'UI': 'D003195', 'MajorTopicYN': 'Y'}), StringElement('Computers, Handheld', attributes={'UI': 'D034201', 'MajorTopicYN': 'Y'}), StringElement('Image Enhancement', attributes={'UI': 'D007089', 'MajorTopicYN': 'N'}), StringElement('Internet', attributes={'UI': 'D020407', 'MajorTopicYN': 'N'}), StringElement('Signal Processing, Computer-Assisted', attributes={'UI': 'D012815', 'MajorTopicYN': 'N'}), StringElement('Software', attributes={'UI': 'D012984', 'MajorTopicYN': 'Y'})]","[StringElement('Computer Communication Networks', attributes={'UI': 'D003195', 'MajorTopicYN': 'Y'}), StringElement('Computers, Handheld', attributes={'UI': 'D034201', 'MajorTopicYN': 'Y'}), StringElement('Software', attributes={'UI': 'D012984', 'MajorTopicYN': 'Y'})]","Using the Web Service technology, the paper puts forward a solution of remote communication between PACS and the handheld mobile intelligent devices, the characteristics of the solution are simple, easy to implement, short development cycle, high practicability, and low cost etc.",Zhongguo yi liao qi xie za zhi = Chinese journal of medical instrumentation,chi,2013,Sep
Toward robust phase-locking in Melibe swim central pattern generator models.,"['Jalil, Sajiya', 'Allen, Dane', 'Youker, Joseph', 'Shilnikov, Andrey']","['Neuroscience Institute and Department of Mathematics and Statistics, Georgia State University, Atlanta, Georgia 30303, USA.', 'Neuroscience Institute and Department of Mathematics and Statistics, Georgia State University, Atlanta, Georgia 30303, USA.', 'Neuroscience Institute and Department of Mathematics and Statistics, Georgia State University, Atlanta, Georgia 30303, USA.', 'Neuroscience Institute and Department of Mathematics and Statistics, Georgia State University, Atlanta, Georgia 30303, USA.']",['physiology'],NA,"[StringElement('Animals', attributes={'UI': 'D000818', 'MajorTopicYN': 'N'}), StringElement('Gastropoda', attributes={'UI': 'D049851', 'MajorTopicYN': 'N'}), StringElement('Models, Biological', attributes={'UI': 'D008954', 'MajorTopicYN': 'Y'}), StringElement('Swimming', attributes={'UI': 'D013550', 'MajorTopicYN': 'N'})]","[StringElement('Models, Biological', attributes={'UI': 'D008954', 'MajorTopicYN': 'Y'})]","Small groups of interneurons, abbreviated by CPG for central pattern generators, are arranged into neural networks to generate a variety of core bursting rhythms with specific phase-locked states, on distinct time scales, which govern vital motor behaviors in invertebrates such as chewing and swimming. These movements in lower level animals mimic motions of organs in higher animals due to evolutionarily conserved mechanisms. Hence, various neurological diseases can be linked to abnormal movement of body parts that are regulated by a malfunctioning CPG. In this paper, we, being inspired by recent experimental studies of neuronal activity patterns recorded from a swimming motion CPG of the sea slug Melibe leonina, examine a mathematical model of a 4-cell network that can plausibly and stably underlie the observed bursting rhythm. We develop a dynamical systems framework for explaining the existence and robustness of phase-locked states in activity patterns produced by the modeled CPGs. The proposed tools can be used for identifying core components for other CPG networks with reliable bursting outcomes and specific phase relationships between the interneurons. Our findings can be employed for identifying or implementing the conditions for normal and pathological functioning of basic CPGs of animals and artificially intelligent prosthetics that can regulate various movements.","Chaos (Woodbury, N.Y.)",eng,2013,Dec
